通番,山名,山名ひらがな甲,所在甲,標高
1,藻岩山,もいわやま,北海道,531
2,ニセコアンヌプリ,にせこあんぬぷり,北海道,1308
3,樽前山,たるまえさん,北海道,1041
4,渡島駒ガ岳,おしまこまがたけ,北海道,1131
5,函館山,はこだてやま,北海道,334
6,恵山,えさん,北海道,618
7,七時雨山,ななしぐれやま,岩手県,1063
8,姫神山,ひめかみやま,岩手県,1124
9,太平山,たいへいざん,秋田県,1170
10,泉ガ岳,いずみがたけ,宮城県,1175
11,霊山,りょうぜん,福島県,825
12,蓬田岳,よもぎだだけ,福島県,952
13,鎌倉岳,かまくらだけ,福島県,967
14,猫魔ガ岳,ねこまがたけ,福島県,1404
15,小野岳,おのだけ,福島県,1383
16,筑波山,つくばさん,茨城県,877
17,加波山,かばさん,茨城県,709
18,男体山,なんたいさん,茨城県,654
19,竪破山,たつわれさん,茨城県,658
20,八溝山,やみぞさん,福島県,1022
21,古賀志山,こがしやま,栃木県,583
22,晃石山,てるいしやま,栃木県,419
23,岩櫃山,いわびつやま,群馬県,802
24,嵩山,たけやま,群馬県,789
25,子持山,こもちやま,群馬県,1296
26,榛名山,はるなさん,群馬県,1449
27,妙義山,みょうぎさん,群馬県,1104
28,鹿岳,かなだけ,群馬県,1015
29,稲含山,いなふくみやま,群馬県,1370
30,荒船山,あらふねやま,群馬県,1423
31,御荷鉾山,みかぼやま,群馬県,1287
32,城峰山,じょうみねさん,埼玉県,1038
33,笠山,かさやま,埼玉県,837
34,秩父三峰山,ちちぶみつみねさん,埼玉県,1329
35,武甲山,ぶこうさん,埼玉県,1304
36,棒ノ折山,ぼうのおれやま,埼玉県,969
37,伊豆ガ岳,いずがだけ,埼玉県,851
38,釜伏山,かまふせやま,埼玉県,582
39,御岳山,みたけさん,東京都,929
40,大岳山,おおだけさん,東京都,1266
41,御前山,ごぜんやま,東京都,1405
42,川苔山,かわのりやま,東京都,1363
43,権現山,ごんげんやま,山梨県,1312
44,高尾山,たかおさん,東京都,599
45,天上山,てんじょうさん,東京都,572
46,乳房山,ちぶさやま,東京都,463
47,石老山,せきろうざん,神奈川県,702
48,高畑山,たかはたやま,山梨県,982
49,扇山,おうぎやま,山梨県,1138
50,大山,おおやま,神奈川県,1252
51,塔ノ岳,とうのだけ,神奈川県,1491
52,金時山,きんときやま,神奈川県,1212
53,駒ガ岳,こまがたけ,神奈川県,1438
54,明神ガ岳,みょうじんがたけ,神奈川県,1169
55,鋸山,のこぎりやま,千葉県,329
56,伊予ガ岳,いよがたけ,千葉県,336
57,富山,とみさん,千葉県,349
58,弥彦山,やひこやま,新潟県,634
59,米山,よねやま,新潟県,993
60,金北山,きんぽくさん,新潟県,1172
61,石割山,いしわりやま,山梨県,1413
62,大洞山,おおぼらやま,山梨県,1384
63,足和田山,あしわだやま,山梨県,1355
64,長者ガ岳,ちょうじゃがたけ,山梨県,1336
65,蛭ガ岳,ひるがたけ,山梨県,1280
66,身延山,みのぶさん,山梨県,1153
67,高社山,たかやしろやま,長野県,1351
68,独鈷山,とっこさん,長野県,1266
69,霧訪山,きりとうやま,長野県,1305
70,浜石岳,はまいしだけ,静岡県,707
71,竜爪山,りゅうそうざん,静岡県,1051
72,天城山,あまぎさん,静岡県,1406
73,高根山,たかねやま,静岡県,343
74,発端丈山,ほったんじょうやま,静岡県,410
75,鳳来寺山,ほうらいじさん,愛知県,695
76,本宮山,ほんぐうさん,愛知県,789
77,石巻山,いしまきさん,愛知県,358
78,御在所岳,ございしょだけ,三重県,1212
79,霊仙山,りょうぜんざん,滋賀県,1094
80,伊吹山,いぶきやま,滋賀県,1377
81,武奈ガ岳,ぶながだけ,滋賀県,1214
82,比叡山,ひえいざん,京都府,848
83,愛宕山,あたごやま,京都府,924
84,二上山,にじょうさん,奈良県,517
85,三輪山,みわやま,奈良県,467
86,大和葛城山,やまとかつらぎさん,奈良県,959
87,多武峰,とうのみね,奈良県,678
88,吉野山,よしのやま,奈良県,858
89,高野山,こうやさん,和歌山県,1009
90,六甲山,ろっこうさん,兵庫県,931
91,先山,せんざん,兵庫県,448
92,雪彦山,せっぴこさん,兵庫県,915
93,蒜山,ひるぜん,岡山県,1202
94,三瓶山,さんべさん,島根県,1126
95,弥山,みせん,広島県,535
96,琴平山,ことひらやま,香川県,524
97,宝満山,ほうまんざん,福岡県,829
98,英彦山,ひこさん,福岡県,1199
99,鶴見岳,つるみだけ,大分県,1375
100,開聞岳,かいもんだけ,鹿児島県,924
101,日本国,にほんこく,新潟県,555
